question_number,correct_answer,category
1,B,Heart of Algebra
2,D,Problem Solving and Data Analysis
3,A,Heart of Algebra
4,C,Passport to Advanced Math
5,E,Additional Topics in Math
6,A,Problem Solving and Data Analysis
7,D,Heart of Algebra
8,B,Passport to Advanced Math
9,C,Problem Solving and Data Analysis
10,E,Additional Topics in Math
11,B,Heart of Algebra
12,C,Problem Solving and Data Analysis
13,A,Passport to Advanced Math
14,D,Additional Topics in Math
15,E,Heart of Algebra
16,A,Problem Solving and Data Analysis
17,B,Passport to Advanced Math
18,C,Additional Topics in Math
19,D,Heart of Algebra
20,E,Problem Solving and Data Analysis
